subj_id,subjcode,electrode,qual_col,row,Name,TextResp,isCorrect,Timing_1,Confidence
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(32),32,apple,lake,0,38.936,2.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(33),33,lock,lock,1,1.711,6.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(34),34,car,car,1,2.068,5.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(35),35,crib,crib,1,1.32,6.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(36),36,camcoder,oven,0,6.962999999999999,4.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(37),37,trophy,trophy,1,4.375,5.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(38),38,calculator,calculator,1,1.863,6.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(39),39,tennisracket,,0,5.392,
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(40),40,butterfly,butterfly,1,1.171,7.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(41),41,stapler,stairs,0,26.978,2.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(42),42,sodacan,lantern,0,10.314,4.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(43),43,palmtree,tree,0,2.772,4.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(44),44,gift,,0,4.301,
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(45),45,bucket,crab,0,20.911,4.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(46),46,trumpet,key,0,3.353,5.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(47),47,bill,dollar,0,1.736,7.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(48),48,fish,,0,52.834,
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(49),49,bell,,0,30.33,
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(50),50,cheese,cheese,1,6.947,4.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(51),51,turtle,turtle,1,2.797,5.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(52),52,axe,axe,1,2.815,6.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(53),53,handgun,witch face,0,38.488,3.0
R_2tvsWbcRX5R84ap,WFM105,2,NameResp_TEXT(54),54,dog,chicken,0,3.766,3.0
