subj_id,qual_col,Timing_1,row,Name
R_6ujqTETwTzRExX7,Timing_1(3),10.662,3,balloon
R_1NfgfYV1GvFsWiN,Timing_1(3),37.389,3,balloon
R_0TiNGME0OVqJO3H,Timing_1(3),29.484,3,balloon
R_0ih7r0MXsn7mCSV,Timing_1(3),,3,balloon
R_aWcEn0nidpymQER,Timing_1(3),7.997000000000001,3,balloon
R_9FZPEV6r7ezLOSN,Timing_1(3),4.717,3,balloon
R_6zhc96D1g2EpM2h,Timing_1(3),2.3080000000000003,3,balloon
R_2a6HPCAFPrB4mIR,Timing_1(3),6.6770000000000005,3,balloon
R_8nQqGUmR9MT1CTP,Timing_1(4),8.109,4,backpack
R_0NWkLPKVngfskaV,Timing_1(4),2.559,4,backpack
R_2tvsWbcRX5R84ap,Timing_1(4),2.8760000000000003,4,backpack
R_1TCKelAGYh94Ppr,Timing_1(4),,4,backpack
R_5uoQgdmI1psnW97,Timing_1(4),,4,backpack
R_2aVo1rAUKgNJ8VL,Timing_1(4),8.531,4,backpack
R_03dyKKqahwimd1z,Timing_1(4),12.824000000000002,4,backpack
R_4I5pqYdhVgOKFKd,Timing_1(4),,4,backpack
R_1EWCq1k7UFauhNj,Timing_1(4),3.236,4,backpack
R_81xh6ldt0VxOPHL,Timing_1(4),2.307,4,backpack
R_9KLkobZ9kYZSzYh,Timing_1(4),2.029,4,backpack
R_4T9SzDwjzOtlmrX,Timing_1(4),7.647,4,backpack
R_eFBfDt4acLjjVQh,Timing_1(4),9.717,4,backpack
R_d6Dq6Kyn36MTAJ7,Timing_1(4),35.014,4,backpack
R_3jv8dkv5pkIe4f3,Timing_1(4),6.149,4,backpack
R_9NNGTs03HOOrLhz,Timing_1(4),4.196000000000001,4,backpack
R_9QAIH8o5XKYkAFD,Timing_1(4),3.908,4,backpack
R_8hQIw8oM3sZtlUV,Timing_1(4),3.7960000000000003,4,backpack
R_dbuBKRXlnjouSRD,Timing_1(4),2.545,4,backpack
R_81i04UQTtFxOXlz,Timing_1(4),3.4389999999999996,4,backpack
R_aflUaQ1v901DTZb,Timing_1(4),9.897,4,backpack
R_8cU5NCG2ysTIeFf,Timing_1(4),3.47,4,backpack
R_9movxfJr3JHx4c5,Timing_1(4),4.7010000000000005,4,backpack
R_6zZuvVsaXiYicmh,Timing_1(4),1.739,4,backpack
R_7Os34FuyUOKUtAV,Timing_1(4),8.645,4,backpack
R_6tIMcOQsORkQnuB,Timing_1(4),10.209,4,backpack
R_e9a4GNsvoZJ49mZ,Timing_1(4),8.318999999999999,4,backpack
R_cAPsFbVcU6FKEpT,Timing_1(4),13.105,4,backpack
R_cO0dBs5ofX0BOpT,Timing_1(4),1.5330000000000001,4,backpack
R_6Yb3oRlkWUQ0xkF,Timing_1(4),2.4659999999999997,4,backpack
R_5A3PjLiZbWfA6Tb,Timing_1(4),1.2329999999999999,4,backpack
R_0cuIBoqJYSnYnLT,Timing_1(4),2.323,4,backpack
R_9KSFfd62afsuieF,Timing_1(4),1.861,4,backpack
R_02GRIQd5MDRenPf,Timing_1(4),2.298,4,backpack
R_bjv98vU4STp6zQx,Timing_1(4),4.64,4,backpack
R_9KB1XzOy6rP7O1D,Timing_1(4),9.292,4,backpack
R_eX2Q9p9ZqgsYVLv,Timing_1(4),1.675,4,backpack
R_eDMsuefXH4Nvbhz,Timing_1(4),,4,backpack
R_cGTSCS88UP99f0x,Timing_1(4),,4,backpack
R_6ujqTETwTzRExX7,Timing_1(4),14.734000000000002,4,backpack
R_1NfgfYV1GvFsWiN,Timing_1(4),,4,backpack
R_0TiNGME0OVqJO3H,Timing_1(4),17.11,4,backpack
R_0ih7r0MXsn7mCSV,Timing_1(4),,4,backpack
R_aWcEn0nidpymQER,Timing_1(4),2.5810000000000004,4,backpack
R_9FZPEV6r7ezLOSN,Timing_1(4),7.096,4,backpack
R_6zhc96D1g2EpM2h,Timing_1(4),1.723,4,backpack
R_2a6HPCAFPrB4mIR,Timing_1(4),,4,backpack
R_8nQqGUmR9MT1CTP,Timing_1(5),2.477,5,headphones
