subj_id,qual_col,Confidence,row,Name
R_8cU5NCG2ysTIeFf,Confidence(17),,17,armchair
R_9movxfJr3JHx4c5,Confidence(17),,17,armchair
R_6zZuvVsaXiYicmh,Confidence(17),,17,armchair
R_7Os34FuyUOKUtAV,Confidence(17),2.0,17,armchair
R_6tIMcOQsORkQnuB,Confidence(17),,17,armchair
R_e9a4GNsvoZJ49mZ,Confidence(17),2.0,17,armchair
R_cAPsFbVcU6FKEpT,Confidence(17),3.0,17,armchair
R_cO0dBs5ofX0BOpT,Confidence(17),,17,armchair
R_6Yb3oRlkWUQ0xkF,Confidence(17),6.0,17,armchair
R_5A3PjLiZbWfA6Tb,Confidence(17),,17,armchair
R_0cuIBoqJYSnYnLT,Confidence(17),,17,armchair
R_9KSFfd62afsuieF,Confidence(17),3.0,17,armchair
R_02GRIQd5MDRenPf,Confidence(17),2.0,17,armchair
R_bjv98vU4STp6zQx,Confidence(17),,17,armchair
R_9KB1XzOy6rP7O1D,Confidence(17),,17,armchair
R_eX2Q9p9ZqgsYVLv,Confidence(17),,17,armchair
R_eDMsuefXH4Nvbhz,Confidence(17),,17,armchair
R_cGTSCS88UP99f0x,Confidence(17),6.0,17,armchair
R_6ujqTETwTzRExX7,Confidence(17),,17,armchair
R_1NfgfYV1GvFsWiN,Confidence(17),,17,armchair
R_0TiNGME0OVqJO3H,Confidence(17),,17,armchair
R_0ih7r0MXsn7mCSV,Confidence(17),6.0,17,armchair
R_aWcEn0nidpymQER,Confidence(17),2.0,17,armchair
R_9FZPEV6r7ezLOSN,Confidence(17),4.0,17,armchair
R_6zhc96D1g2EpM2h,Confidence(17),6.0,17,armchair
R_2a6HPCAFPrB4mIR,Confidence(17),,17,armchair
R_8nQqGUmR9MT1CTP,Confidence(18),,18,guitar
R_0NWkLPKVngfskaV,Confidence(18),5.0,18,guitar
R_2tvsWbcRX5R84ap,Confidence(18),3.0,18,guitar
R_1TCKelAGYh94Ppr,Confidence(18),,18,guitar
R_5uoQgdmI1psnW97,Confidence(18),,18,guitar
R_2aVo1rAUKgNJ8VL,Confidence(18),7.0,18,guitar
R_03dyKKqahwimd1z,Confidence(18),6.0,18,guitar
R_4I5pqYdhVgOKFKd,Confidence(18),2.0,18,guitar
R_1EWCq1k7UFauhNj,Confidence(18),,18,guitar
R_81xh6ldt0VxOPHL,Confidence(18),,18,guitar
R_9KLkobZ9kYZSzYh,Confidence(18),,18,guitar
R_4T9SzDwjzOtlmrX,Confidence(18),4.0,18,guitar
R_eFBfDt4acLjjVQh,Confidence(18),8.0,18,guitar
R_d6Dq6Kyn36MTAJ7,Confidence(18),,18,guitar
R_3jv8dkv5pkIe4f3,Confidence(18),,18,guitar
R_9NNGTs03HOOrLhz,Confidence(18),4.0,18,guitar
R_9QAIH8o5XKYkAFD,Confidence(18),,18,guitar
R_8hQIw8oM3sZtlUV,Confidence(18),,18,guitar
R_dbuBKRXlnjouSRD,Confidence(18),5.0,18,guitar
R_81i04UQTtFxOXlz,Confidence(18),,18,guitar
R_aflUaQ1v901DTZb,Confidence(18),5.0,18,guitar
R_8cU5NCG2ysTIeFf,Confidence(18),5.0,18,guitar
R_9movxfJr3JHx4c5,Confidence(18),5.0,18,guitar
R_6zZuvVsaXiYicmh,Confidence(18),,18,guitar
R_7Os34FuyUOKUtAV,Confidence(18),3.0,18,guitar
R_6tIMcOQsORkQnuB,Confidence(18),,18,guitar
R_e9a4GNsvoZJ49mZ,Confidence(18),3.0,18,guitar
R_cAPsFbVcU6FKEpT,Confidence(18),8.0,18,guitar
R_cO0dBs5ofX0BOpT,Confidence(18),,18,guitar
R_6Yb3oRlkWUQ0xkF,Confidence(18),4.0,18,guitar
R_5A3PjLiZbWfA6Tb,Confidence(18),4.0,18,guitar
R_0cuIBoqJYSnYnLT,Confidence(18),3.0,18,guitar
R_9KSFfd62afsuieF,Confidence(18),4.0,18,guitar
R_02GRIQd5MDRenPf,Confidence(18),,18,guitar
R_bjv98vU4STp6zQx,Confidence(18),,18,guitar
R_9KB1XzOy6rP7O1D,Confidence(18),5.0,18,guitar
R_eX2Q9p9ZqgsYVLv,Confidence(18),,18,guitar
R_eDMsuefXH4Nvbhz,Confidence(18),,18,guitar
R_cGTSCS88UP99f0x,Confidence(18),,18,guitar
R_6ujqTETwTzRExX7,Confidence(18),5.0,18,guitar
R_1NfgfYV1GvFsWiN,Confidence(18),,18,guitar
R_0TiNGME0OVqJO3H,Confidence(18),,18,guitar
R_0ih7r0MXsn7mCSV,Confidence(18),8.0,18,guitar
R_aWcEn0nidpymQER,Confidence(18),3.0,18,guitar
R_9FZPEV6r7ezLOSN,Confidence(18),,18,guitar
R_6zhc96D1g2EpM2h,Confidence(18),8.0,18,guitar
R_2a6HPCAFPrB4mIR,Confidence(18),,18,guitar
R_8nQqGUmR9MT1CTP,Confidence(19),,19,cat
R_0NWkLPKVngfskaV,Confidence(19),6.0,19,cat
R_2tvsWbcRX5R84ap,Confidence(19),4.0,19,cat
R_1TCKelAGYh94Ppr,Confidence(19),,19,cat
R_5uoQgdmI1psnW97,Confidence(19),5.0,19,cat
R_2aVo1rAUKgNJ8VL,Confidence(19),,19,cat
R_03dyKKqahwimd1z,Confidence(19),,19,cat
R_4I5pqYdhVgOKFKd,Confidence(19),,19,cat
R_1EWCq1k7UFauhNj,Confidence(19),,19,cat
R_81xh6ldt0VxOPHL,Confidence(19),,19,cat
R_9KLkobZ9kYZSzYh,Confidence(19),2.0,19,cat
R_4T9SzDwjzOtlmrX,Confidence(19),7.0,19,cat
R_eFBfDt4acLjjVQh,Confidence(19),6.0,19,cat
R_d6Dq6Kyn36MTAJ7,Confidence(19),,19,cat
R_3jv8dkv5pkIe4f3,Confidence(19),4.0,19,cat
R_9NNGTs03HOOrLhz,Confidence(19),4.0,19,cat
R_9QAIH8o5XKYkAFD,Confidence(19),,19,cat
R_8hQIw8oM3sZtlUV,Confidence(19),,19,cat
R_dbuBKRXlnjouSRD,Confidence(19),5.0,19,cat
R_81i04UQTtFxOXlz,Confidence(19),8.0,19,cat
R_aflUaQ1v901DTZb,Confidence(19),4.0,19,cat
R_8cU5NCG2ysTIeFf,Confidence(19),,19,cat
R_9movxfJr3JHx4c5,Confidence(19),4.0,19,cat
R_6zZuvVsaXiYicmh,Confidence(19),3.0,19,cat
R_7Os34FuyUOKUtAV,Confidence(19),2.0,19,cat
R_6tIMcOQsORkQnuB,Confidence(19),,19,cat
R_e9a4GNsvoZJ49mZ,Confidence(19),2.0,19,cat
R_cAPsFbVcU6FKEpT,Confidence(19),6.0,19,cat
R_cO0dBs5ofX0BOpT,Confidence(19),3.0,19,cat
R_6Yb3oRlkWUQ0xkF,Confidence(19),3.0,19,cat
R_5A3PjLiZbWfA6Tb,Confidence(19),,19,cat
R_0cuIBoqJYSnYnLT,Confidence(19),3.0,19,cat
R_9KSFfd62afsuieF,Confidence(19),3.0,19,cat
